source_system,strategy_id,ticker,timeframe,signal_time,side,entry_type,entry_price_ref,stop_price,target_price,raw_score,normalized_score,confidence,risk_unit,reason_codes,metadata
A,unknown,ADSK,1D,2024-11-26,long,next_open,317.96,292.5232,349.756,0.754,0.754,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,ARES,1D,2024-11-26,long,next_open,173.1413,159.29,190.4554,0.79,0.79,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,BLK,1D,2024-11-26,long,next_open,1000.9045,920.8321,1100.9949,0.653,0.653,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,CALM,1D,2024-11-26,long,next_open,87.7585,80.7378,96.5343,0.878,0.878,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,CBRE,1D,2024-11-26,long,next_open,140.43,129.1956,154.473,0.732,0.732,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,CSL,1D,2024-11-26,long,next_open,454.6514,418.2793,500.1166,0.607,0.607,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,DAY,1D,2024-11-26,long,next_open,79.68,73.3056,87.648,0.914,0.914,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,DBA,1D,2024-11-26,long,next_open,79.68,73.3056,87.648,0.914,0.914,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,DELL,1D,2024-11-26,long,next_open,138.6016,127.5134,152.4617,0.809,0.8089999999999999,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,FITB,1D,2024-11-26,long,next_open,46.1484,42.4566,50.7633,0.606,0.606,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,GS,1D,2024-11-26,long,next_open,590.4648,543.2277,649.5113,0.767,0.767,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,HST,1D,2024-11-26,long,next_open,79.68,73.3056,87.648,0.914,0.914,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,JBTM,1D,2024-11-26,long,next_open,123.6369,113.7459,136.0006,0.906,0.906,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,JHG,1D,2024-11-26,long,next_open,43.6146,40.1254,47.9761,0.777,0.777,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KNX,1D,2024-11-26,long,next_open,58.3225,53.6567,64.1548,0.593,0.593,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KRC,1D,2024-11-26,long,next_open,39.4463,36.2906,43.3909,0.737,0.737,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,KRHC1,1D,2024-11-26,long,next_open,39.4463,36.2906,43.3909,0.738,0.738,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,MP,1D,2024-11-26,long,next_open,20.25,18.63,22.275,0.951,0.951,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,MS,1D,2024-11-26,long,next_open,127.004,116.8437,139.7044,0.863,0.8630000000000001,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,NTNX,1D,2024-11-26,long,next_open,72.35,66.562,79.585,0.667,0.667,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,OKE,1D,2024-11-26,long,next_open,106.3212,97.8155,116.9534,0.768,0.768,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,RYAN,1D,2024-11-26,long,next_open,74.2558,68.3153,81.6814,0.662,0.662,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,S,1D,2024-11-26,long,next_open,27.93,25.6956,30.723,0.739,0.739,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,SCI,1D,2024-11-26,long,next_open,86.1767,79.2826,94.7944,0.582,0.582,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,SRE,1D,2024-11-26,long,next_open,89.7208,82.5431,98.6929,0.589,0.589,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,SSB,1D,2024-11-26,long,next_open,107.7237,99.1058,118.4961,0.638,0.638,0.5,,,{'origin': 'combo_pipeline'}
A,unknown,TPG,1D,2024-11-26,long,next_open,67.9228,62.489,74.7151,0.924,0.924,0.5,,,{'origin': 'combo_pipeline'}
