ticker,rs,breakout_lvl,dist_sma20_pct,dist_sma20,rvol,waiting_desc,sector_etf,excluded_by_xlv,allowed_shadow_candidate,shadow_status,source_snapshot
LNT,68.79120879120879,75.76,1.01,1.01,1.1,Breakout > 75.76,OTHER,False,True,shadow_allowed,paper_finviz
ARM,92.52747252747253,239.5,4.58,4.58,0.94,Breakout > 239.50,XLK,False,True,shadow_allowed,paper_finviz
HON,53.84615384615385,228.53,1.58,1.58,1.22,Breakout > 228.53,XLI,False,True,shadow_allowed,paper_finviz
VTRS,79.78021978021978,17.53,1.85,1.85,1.04,Breakout > 17.53,OTHER,False,True,shadow_allowed,paper_finviz
ABT,43.956043956043956,95.91,0.78,0.78,0.87,Breakout > 95.91,XLV,True,False,blocked_by_sector,paper_finviz
WRBY,63.73626373626373,29.95,1.89,1.89,3.49,Breakout > 29.95,OTHER,False,True,shadow_allowed,paper_finviz
ZBH,35.824175824175825,95.89,1.57,1.57,1.01,Breakout > 95.89,OTHER,False,True,shadow_allowed,paper_finviz
SMTC,94.28571428571428,149.13,14.11,14.11,1.23,Breakout > 149.13,OTHER,False,True,shadow_allowed,paper_finviz
ACN,30.76923076923077,199.53,0.36,0.36,1.2,Breakout > 199.53,XLK,False,True,shadow_allowed,paper_finviz
EXEL,72.74725274725274,51.63,3.32,3.32,0.97,Breakout > 51.63,OTHER,False,True,shadow_allowed,paper_finviz
PENG,98.9010989010989,53.27,23.64,23.64,0.92,Breakout > 53.27,OTHER,False,True,shadow_allowed,paper_finviz
STM,95.82417582417582,65.31,8.98,8.98,0.82,Breakout > 65.31,OTHER,False,True,shadow_allowed,paper_finviz
NXT,88.13186813186813,156.78,1.53,1.53,1.13,Breakout > 156.78,OTHER,False,True,shadow_allowed,paper_finviz
ZS,91.64835164835165,178.26,19.79,19.79,1.43,Breakout > 178.26,OTHER,False,True,shadow_allowed,paper_finviz
SHEL,57.802197802197796,90.91,1.22,1.22,0.84,Breakout > 90.91,OTHER,False,True,shadow_allowed,paper_finviz
INOD,99.78021978021978,114.77,39.27,39.27,0.59,Breakout > 114.77,OTHER,False,True,shadow_allowed,paper_finviz
VIK,62.417582417582416,92.0,0.22,0.22,1.21,Breakout > 92.00,OTHER,False,True,shadow_allowed,paper_finviz
VERX,71.64835164835165,15.0,1.02,1.02,1.41,Breakout > 15.00,OTHER,False,True,shadow_allowed,paper_finviz
TTMI,93.84615384615384,180.0,4.38,4.38,0.88,Breakout > 180.00,OTHER,False,True,shadow_allowed,paper_finviz
ED,62.1978021978022,111.5,0.69,0.69,1.48,Breakout > 111.50,OTHER,False,True,shadow_allowed,paper_finviz
KO,79.34065934065934,81.39,4.12,4.12,1.13,OK,XLP,False,True,shadow_allowed,paper_finviz
GTLB,85.27472527472527,26.39,8.41,8.41,1.06,Breakout > 26.39,OTHER,False,True,shadow_allowed,paper_finviz
BEN,83.95604395604396,32.44,2.15,2.15,0.98,Breakout > 32.44,OTHER,False,True,shadow_allowed,paper_finviz
CP,70.1098901098901,88.08,0.66,0.66,1.04,Breakout > 88.08,OTHER,False,True,shadow_allowed,paper_finviz
RKLB,97.36263736263736,138.38,30.16,30.16,1.12,Breakout > 138.38,OTHER,False,True,shadow_allowed,paper_finviz
TRGP,89.45054945054946,275.6,8.42,8.42,1.17,Dist SMA20 <= 6.77%,OTHER,False,True,shadow_allowed,paper_finviz
OKE,84.83516483516483,93.83,7.21,7.21,1.07,RVOL >= 1.10,OTHER,False,True,shadow_allowed,paper_finviz
INTC,99.34065934065934,132.75,8.71,8.71,0.92,Breakout > 132.75,XLK,False,True,shadow_allowed,paper_finviz
