day_idx,col_idx,exit_type_code,exit_price,shares,pnl,entry_day_idx,initial_risk,context_rvol,context_adr,context_volume,exit_date,entry_date,symbol,exit_phase,monetary_risk,adjusted_risk_dollars,base_risk_dollars,context_vol,return_pct,entry_price,context_dollar_vol,signal_type,dist_sma20_pct
370.0,37.0,2.0,89.70939636230469,32.0,352.542236328125,347.0,200.0,1.6143163442611694,2.894564390182495,11068600.0,2019-02-25,2019-01-22,TXN,TP2,200.0,200.0,200.0,11068600.0,14.000002132945111,78.69245147705078,871015268.4188843,MOMENTUM,1.937024712562561
372.0,6.0,1.0,446.67999267578125,3.0,231.57000732421875,371.0,200.0,1.612350583076477,3.154816150665283,781200.0,2019-02-27,2019-02-26,MELI,TP1,200.0,200.0,200.0,781200.0,20.890959019605123,369.489990234375,288645580.37109375,MOMENTUM,1.8483397960662842
373.0,5.0,3.0,16.05891227722168,79.0,260.8055667877197,347.0,200.0,1.5575906038284302,3.880387783050537,37249000.0,2019-02-28,2019-01-22,LRCX,RUNNER,200.0,200.0,200.0,37249000.0,25.8774573740208,12.757575988769531,475206948.00567627,MOMENTUM,1.6856900453567505
373.0,6.0,2.0,458.7900085449219,7.0,625.1001281738281,371.0,200.0,1.612350583076477,3.154816150665283,781200.0,2019-02-28,2019-02-26,MELI,TP2,200.0,200.0,200.0,781200.0,24.168453996250904,369.489990234375,288645580.37109375,MOMENTUM,1.8483397960662842
374.0,36.0,0.0,19.652666091918945,238.0,-316.5404357910156,372.0,200.0,1.57687509059906,3.2034926414489746,167758496.0,2019-03-01,2019-02-27,TSLA,STOP,200.0,200.0,200.0,167758496.0,-6.338573511895914,20.982667922973633,3520020812.8255005,MOMENTUM,2.4752819538116455
377.0,37.0,3.0,86.51696014404297,13.0,101.71861267089844,347.0,200.0,1.6143163442611694,2.894564390182495,11068600.0,2019-03-06,2019-01-22,TXN,RUNNER,200.0,200.0,200.0,11068600.0,9.94315022613581,78.69245147705078,871015268.4188843,MOMENTUM,1.937024712562561
378.0,30.0,0.0,3.704267978668213,1281.0,-251.72299432754517,365.0,200.0,1.8074955940246582,4.258303165435791,1516748032.0,2019-03-07,2019-02-15,NVDA,STOP,200.0,200.0,200.0,1516748032.0,-5.037592992322977,3.900773048400879,5916489844.440674,MOMENTUM,5.6487135887146
386.0,30.0,1.0,4.360690593719482,375.0,135.59675216674805,380.0,200.0,1.5332638025283813,3.2371907234191895,859728000.0,2019-03-19,2019-03-11,NVDA,TP1,200.0,200.0,200.0,859728000.0,9.041819572111573,3.9990992546081543,3438137603.9657593,MOMENTUM,3.9981296062469482
388.0,30.0,2.0,4.564939975738525,625.0,353.65045070648193,380.0,200.0,1.5332638025283813,3.2371907234191895,859728000.0,2019-03-21,2019-03-11,NVDA,TP2,200.0,200.0,200.0,859728000.0,14.149204235887716,3.9990992546081543,3438137603.9657593,MOMENTUM,3.9981296062469482
389.0,28.0,0.0,36.0211181640625,133.0,-199.6171989440918,387.0,200.0,1.651304006576538,2.514957904815674,109172000.0,2019-03-22,2019-03-20,NFLX,STOP,200.0,200.0,200.0,109172000.0,-4.000003253299787,37.52199935913086,4096351714.035034,MOMENTUM,4.396406650543213
