number,value,datetime_start,datetime_complete,duration,params_max_consolidation_range,params_max_dist_sma20,params_max_stop_pct,params_max_vix,params_min_consolidation_days,params_min_dollar_volume,params_min_volume,params_require_bullish_spy,params_rvol_danger,params_rvol_warning,params_rvol_warning_size,state
84,0.39173165785767894,2026-01-10 01:17:33.206248,2026-01-10 01:17:33.796969,0 days 00:00:00.590721,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
85,0.39173165785767894,2026-01-10 01:17:33.799270,2026-01-10 01:17:34.398565,0 days 00:00:00.599295,20.0,15.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
86,0.39173165785767894,2026-01-10 01:17:34.400439,2026-01-10 01:17:35.009603,0 days 00:00:00.609164,20.0,15.0,0.08,40.0,10,5000000.0,100000,False,3.0,2.0,0.6,COMPLETE
87,0.39173165785767894,2026-01-10 01:17:35.011688,2026-01-10 01:17:35.612284,0 days 00:00:00.600596,15.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
88,0.32058657096296966,2026-01-10 01:17:35.614328,2026-01-10 01:17:36.191154,0 days 00:00:00.576826,20.0,15.0,0.07,40.0,10,10000000.0,100000,False,3.0,2.5,0.7,COMPLETE
89,0.39173165785767894,2026-01-10 01:17:36.193122,2026-01-10 01:17:36.766428,0 days 00:00:00.573306,20.0,20.0,0.08,50.0,5,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
90,0.39055026222190115,2026-01-10 01:17:36.768456,2026-01-10 01:17:37.350745,0 days 00:00:00.582289,20.0,15.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.65,COMPLETE
91,0.39173165785767894,2026-01-10 01:17:37.352804,2026-01-10 01:17:37.941568,0 days 00:00:00.588764,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
92,0.39173165785767894,2026-01-10 01:17:37.943630,2026-01-10 01:17:38.527546,0 days 00:00:00.583916,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
93,0.39173165785767894,2026-01-10 01:17:38.529445,2026-01-10 01:17:39.119001,0 days 00:00:00.589556,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
94,0.39173165785767894,2026-01-10 01:17:39.121202,2026-01-10 01:17:39.708350,0 days 00:00:00.587148,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
95,0.39173165785767894,2026-01-10 01:17:39.710492,2026-01-10 01:17:40.310964,0 days 00:00:00.600472,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
96,0.37772083953648333,2026-01-10 01:17:40.313098,2026-01-10 01:17:40.969333,0 days 00:00:00.656235,25.0,15.0,0.08,50.0,10,10000000.0,200000,False,3.5,2.0,0.6,COMPLETE
97,0.39173165785767894,2026-01-10 01:17:40.971732,2026-01-10 01:17:41.659972,0 days 00:00:00.688240,20.0,25.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
98,0.39173165785767894,2026-01-10 01:17:41.661963,2026-01-10 01:17:42.413986,0 days 00:00:00.752023,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
99,0.39173165785767894,2026-01-10 01:17:42.417744,2026-01-10 01:17:43.138415,0 days 00:00:00.720671,20.0,15.0,0.08,50.0,10,5000000.0,100000,False,3.0,2.0,0.6,COMPLETE
100,0.36783366015466984,2026-01-10 01:17:43.140560,2026-01-10 01:17:43.753127,0 days 00:00:00.612567,15.0,20.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.5,0.6,COMPLETE
101,0.39173165785767894,2026-01-10 01:17:43.756614,2026-01-10 01:17:44.380138,0 days 00:00:00.623524,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
102,0.39173165785767894,2026-01-10 01:17:44.382196,2026-01-10 01:17:45.070903,0 days 00:00:00.688707,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
103,0.39173165785767894,2026-01-10 01:17:45.073142,2026-01-10 01:17:45.689177,0 days 00:00:00.616035,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
104,0.39173165785767894,2026-01-10 01:17:45.691266,2026-01-10 01:17:46.320697,0 days 00:00:00.629431,20.0,20.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
105,0.34471560333106377,2026-01-10 01:17:46.322743,2026-01-10 01:17:46.928815,0 days 00:00:00.606072,20.0,20.0,0.07,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
106,0.3893461629148444,2026-01-10 01:17:46.930764,2026-01-10 01:17:47.528450,0 days 00:00:00.597686,20.0,15.0,0.08,50.0,5,10000000.0,100000,False,3.0,2.0,0.7,COMPLETE
107,0.39173165785767894,2026-01-10 01:17:47.530364,2026-01-10 01:17:48.158189,0 days 00:00:00.627825,20.0,20.0,0.08,40.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
108,0.38733155441013667,2026-01-10 01:17:48.160333,2026-01-10 01:17:48.761481,0 days 00:00:00.601148,20.0,15.0,0.08,50.0,10,10000000.0,200000,False,3.0,2.0,0.6,COMPLETE
109,0.3833960517967226,2026-01-10 01:17:48.763542,2026-01-10 01:17:49.360006,0 days 00:00:00.596464,20.0,20.0,0.08,40.0,10,10000000.0,100000,False,3.5,2.0,0.6,COMPLETE
110,0.39055026222190115,2026-01-10 01:17:49.362229,2026-01-10 01:17:49.969867,0 days 00:00:00.607638,25.0,25.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.65,COMPLETE
111,0.39173165785767894,2026-01-10 01:17:49.971937,2026-01-10 01:17:50.600446,0 days 00:00:00.628509,20.0,15.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
112,0.39173165785767894,2026-01-10 01:17:50.603120,2026-01-10 01:17:51.211871,0 days 00:00:00.608751,20.0,15.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
113,0.39173165785767894,2026-01-10 01:17:51.213839,2026-01-10 01:17:51.814538,0 days 00:00:00.600699,20.0,15.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
114,0.39173165785767894,2026-01-10 01:17:51.816554,2026-01-10 01:17:52.420704,0 days 00:00:00.604150,20.0,15.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
115,0.39173165785767894,2026-01-10 01:17:52.423064,2026-01-10 01:17:53.023458,0 days 00:00:00.600394,20.0,15.0,0.08,50.0,10,10000000.0,100000,False,3.0,2.0,0.6,COMPLETE
