ticker,price,avg_volume,dollar_volume,adr_pct
AXSM,153.63999938964844,407266.6666666667,62572450.41809082,2.6687997326372965
ARRY,10.1899995803833,5604000.0,57104757.64846802,6.48310241695966
SGML,13.510000228881836,3819000.0,51594690.87409973,10.19399697380776
MIRM,80.75,638566.6666666666,51564258.33333333,5.188210172427184
TPB,107.58000183105469,454500.0,48895110.832214355,4.053184062002912
OR,37.040000915527344,1241833.3333333333,45997507.80359904,2.6211724024553353
SSRM,22.809999465942383,1871400.0,42686633.000564575,3.474214234442429
VRDN,32.279998779296875,1315500.0,42464338.39416504,2.311359726789013
VSEC,180.25,232866.66666666666,41974216.666666664,3.206549705307348
ACMR,40.099998474121094,938200.0,37621818.56842041,3.8825847361149837
BBNX,31.09000015258789,1196833.3333333333,37209548.515955605,7.08663367809303
XMTR,63.40999984741211,574000.0,36397339.91241455,3.5483499445718705
GOLD,34.790000915527344,994900.0,34612571.910858154,3.699268167989113
TPC,68.93000030517578,450100.0,31025393.13735962,3.2293169542070106
ARMN,16.31999969482422,1774300.0,28956575.45852661,3.421383657925228
AUGO,51.77000045776367,507400.0,26268098.232269287,3.5363844972793435
TFPM,34.900001525878906,703233.3333333334,24542844.406382244,2.5212112752213187
DJCO,529.9500122070312,44833.333333333336,23759425.547281902,4.099943827656087
CUBI,76.47000122070312,309100.0,23636877.377319336,2.177208455072785
ANAB,50.0099983215332,412900.0,20649128.30696106,4.417171298054092
HROW,50.15999984741211,404766.6666666667,20303095.93823751,4.4844506160630955
CSTM,18.899999618530273,1037733.3333333334,19613159.60413615,2.4053175755292195
SII,100.25,192000.0,19248000.0,3.1192375310225935
TBBB,34.5,518900.0,17902050.0,3.4490649414766414
ISSC,19.520000457763672,899600.0,17560192.4118042,9.021656915277312
WSBC,34.220001220703125,477766.6666666667,16349175.916544598,1.4613014088617529
CGAU,14.90999984741211,1063033.3333333333,15849826.837793985,2.7878775414054076
PHAT,17.65999984741211,822200.0,14520051.874542236,6.111450784133314
DRD,33.34000015258789,415833.3333333333,13863883.396784464,4.134028684823344
KNSA,42.4900016784668,303466.6666666667,12894299.17602539,3.1272211032457204
KDK,10.4399995803833,1060800.0,11074751.554870605,8.509675050428543
NBN,107.80000305175781,90800.0,9788240.27709961,1.8911100033532486
ASMB,34.0,286633.3333333333,9745533.333333332,10.767177602962208
HG,28.34000015258789,338200.0,9584588.051605225,1.498061031196876
